model_type,brugada_accuracy_mean,brugada_accuracy_std,brugada_accuracy_display,brugada_precision_mean,brugada_precision_std,brugada_precision_display,brugada_recall_mean,brugada_recall_std,brugada_recall_display,brugada_f1_mean,brugada_f1_std,brugada_f1_display,brugada_auc_mean,brugada_auc_std,brugada_auc_display,brugada_f2_mean,brugada_f2_std,brugada_f2_display
spatial_gnn,0.7127272727272727,0.0985179431574114,0.7127 ± 0.0985,0.43841238471673255,0.11568362703743747,0.4384 ± 0.1157,0.8166666666666667,0.16158932858054428,0.8167 ± 0.1616,0.5618113912231559,0.11377429618483484,0.5618 ± 0.1138,0.8399224806201552,0.0843377364816252,0.8399 ± 0.0843,0.6864166480363664,0.12309813461401425,0.6864 ± 0.1231
resnet_baseline,0.8036363636363637,0.06235064799811723,0.8036 ± 0.0624,0.5599719887955181,0.12552890559433227,0.5600 ± 0.1255,0.7333333333333334,0.13333333333333333,0.7333 ± 0.1333,0.6235039385901455,0.09674236623611662,0.6235 ± 0.0967,0.838372093023256,0.048698585096213796,0.8384 ± 0.0487,0.6814455164769095,0.10575267443758948,0.6814 ± 0.1058
hgb_baseline,0.8036363636363637,0.0601925285718067,0.8036 ± 0.0602,0.5654545454545454,0.11757575757575756,0.5655 ± 0.1176,0.5867942583732058,0.28513689184567603,0.5868 ± 0.2851,0.5382010892333472,0.17471698113998865,0.5382 ± 0.1747,0.8192014885699095,0.11786823709429556,0.8192 ± 0.1179,0.5585636527338209,0.23428735272202025,0.5586 ± 0.2343
